datetime,index,filename,mean_intensity,solidity,intensity_variance,intense_convection_ratio,convection_stratiform_ratio,area,convection_area,max_intensity,minor_axis_length,intense_area,eccentricity,convex_area,intense_stratiform_ratio,major_axis_length,label,minor_major_ratio,xmax,xmin,ymax,ymin,label1,label_name
2008-07-06 06:25:00,1292,extracted/mcs_files/mcs_BREF_080706_0625_000.png,28.2755681818,0.6435100548,83.1106152075,0.3084522503,0.1725378788,21120,3644,60,93.8712713345,1124,0.9653607606,32820,0.053219697,359.7720210261,0,0.2609187648,1966,1828,290,145,1,MCS
2013-06-09 19:35:00,1772,extracted/mcs_files/mcs_BREF_130609_1935_001.png,31.1021968184,0.4589588799,70.9892114814,0.2014366021,0.2205082295,58084,12808,60,218.2476110441,2580,0.9003377583,126556,0.0444184285,501.4975019488,0,0.4351918209,1948,1679,1412,1199,1,MCS
2010-08-20 03:10:00,1552,extracted/mcs_files/mcs_BREF_100820_0310_001.png,31.3478495591,0.5596173212,89.0866666911,0.2308690013,0.2774878532,22228,6168,55,152.8285929784,1424,0.8035444559,39720,0.0640633435,256.7491675492,0,0.5952447458,2704,2583,1058,948,1,MCS
2011-06-20 10:05:00,1592,extracted/mcs_files/mcs_BREF_110620_1005_002.png,26.5875589623,0.287222332,55.9186305979,0.2469733656,0.0811713836,40704,3304,65,239.2563164835,816,0.890064246,141716,0.0200471698,524.8747117474,0,0.4558350996,1448,1147,847,669,1,MCS
2007-06-18 22:35:00,1110,extracted/mcs_files/mcs_BREF_070618_2235_000.png,30.2147205914,0.5972468724,60.5984192395,0.1817985767,0.1680437776,110376,18548,60,217.5044756285,3372,0.9613409548,184808,0.0305501196,789.8890392849,0,0.2753607973,2238,1915,610,280,1,MCS
2006-08-18 15:10:00,1050,extracted/mcs_files/mcs_BREF_060818_1510_000.png,31.5848581133,0.5545631304,76.0162186251,0.3242147923,0.216281363,36508,7896,60,150.8734979016,2560,0.9200432784,65832,0.0701216172,385.0613781456,0,0.3918167504,1713,1571,565,396,1,MCS
2008-06-06 08:00:00,1225,extracted/mcs_files/mcs_BREF_080606_0800_000.png,31.6231116877,0.4875098177,58.5243359173,0.1192669446,0.2157802235,191176,41252,55,298.6340779568,4920,0.9640702238,392148,0.025735448,1124.1741710571,0,0.2656475177,2032,1795,955,408,1,MCS
2009-07-13 10:25:00,1395,extracted/mcs_files/mcs_BREF_090713_1025_000.png,32.9967367658,0.5813414274,82.7799023317,0.2571428571,0.2994923858,55160,16520,60,159.38713662,4248,0.9647399655,94884,0.0770123278,605.5630429064,0,0.2632048611,1984,1719,956,774,1,MCS
2012-06-15 01:05:00,1693,extracted/mcs_files/mcs_BREF_120615_0105_002.png,33.6577369801,0.6040511486,107.813354339,0.3410162389,0.3576245785,42704,15272,65,170.1772939382,5208,0.9222510538,70696,0.1219557887,440.1992558018,0,0.3865915076,1604,1439,937,751,1,MCS
2011-06-21 09:40:00,1595,extracted/mcs_files/mcs_BREF_110621_0940_001.png,30.0346709944,0.4513250766,68.6363016106,0.2299285414,0.1754942461,54224,9516,60,217.2926591581,2188,0.922697633,120144,0.040351136,563.6287823563,0,0.3855244195,2091,1884,907,617,1,MCS
2010-08-13 21:40:00,1545,extracted/mcs_files/mcs_BREF_100813_2140_001.png,33.6891852989,0.54177281,72.2262039328,0.2185295501,0.3060646771,83368,25516,60,236.4816560186,5576,0.9255478066,153880,0.0668841762,624.5706281481,0,0.3786307671,2240,1944,745,478,1,MCS
